Program, Package , Core(s) , GPU , DRAM? , Time (ms) , Temperature , Memory 
seo , 0.017029 , 0.014893 , 0.000000 , 0.000000 , 4 , 44.0 , 0 
seo , 0.019836 , 0.016357 , 0.000366 , 0.000000 , 2 , 44.0 , 0 
seo , 0.032288 , 0.024780 , 0.000183 , 0.000000 , 2 , 44.0 , 0 
seo , 0.021851 , 0.023499 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
seo , 0.021851 , 0.024109 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
seo , 0.039001 , 0.032654 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
seo , 0.055542 , 0.055176 , 0.000000 , 0.000000 , 4 , 44.0 , 0 
seo , 0.041565 , 0.039429 , 0.000000 , 0.000000 , 3 , 44.0 , 0 
seo , 0.021179 , 0.022888 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
seo , 0.053772 , 0.046387 , 0.000000 , 0.000000 , 3 , 44.0 , 0 
