Program, Package , Core(s) , GPU , DRAM? , Time (ms) , Temperature , Memory 
seo , 0.023132 , 0.014160 , 0.002441 , 0.000000 , 6 , 44.0 , 0 
seo , 0.022278 , 0.016907 , 0.000916 , 0.000000 , 6 , 44.0 , 0 
seo , 0.043823 , 0.039856 , 0.001770 , 0.000000 , 5 , 44.0 , 0 
seo , 0.024292 , 0.025513 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
seo , 0.023438 , 0.029053 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
seo , 0.054077 , 0.040405 , 0.000061 , 0.000000 , 3 , 44.0 , 0 
seo , 0.037659 , 0.030029 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
seo , 0.039978 , 0.034180 , 0.000000 , 0.000000 , 2 , 44.0 , 0 
seo , 0.041687 , 0.035583 , 0.001038 , 0.000000 , 2 , 44.0 , 0 
seo , 0.056702 , 0.046448 , 0.003601 , 0.000000 , 3 , 44.0 , 0 
