Program, Package , Core(s) , GPU , DRAM? , Time (msec) 
sieve_eratosthenes ,11.508301,9.801636,0.017822,0,1534360
sieve_eratosthenes ,10.733215,9.410522,0.008667,0,1209980
sieve_eratosthenes ,10.640137,9.342896,0.004822,0,1188030
sieve_eratosthenes ,11.982117,10.598572,0.004272,0,1242520
sieve_eratosthenes ,10.960022,9.636536,0.003906,0,1213620
sieve_eratosthenes ,13.117737,11.652405,0.003601,0,1269020
sieve_eratosthenes ,11.3396,9.936096,0.004211,0,1277290
sieve_eratosthenes ,11.070984,9.698425,0.00769,0,1247890
sieve_eratosthenes ,10.838196,9.516479,0.004883,0,1215380
sieve_eratosthenes ,10.872498,9.543213,0.005066,0,1218910
