Program, Package , Core(s) , GPU , DRAM? , Time (msec) 
sieve_eratosthenes ,7.43988,6.54657,0.009338,0,805.33
sieve_eratosthenes ,7.28125,6.554077,0.00238,0,662.686
sieve_eratosthenes ,7.573303,6.822327,0.005554,0,668.195
sieve_eratosthenes ,7.322815,6.584717,0.002563,0,680.455
sieve_eratosthenes ,7.496155,6.745544,0.002686,0,666.449
sieve_eratosthenes ,7.22229,6.450378,0.002441,0,709.495
sieve_eratosthenes ,8.848572,7.982849,0.005127,0,759.929
sieve_eratosthenes ,8.533508,7.693054,0.001831,0,727.74
sieve_eratosthenes ,7.346802,6.579407,0.002136,0,697.764
sieve_eratosthenes ,7.49231,6.706665,0.002014,0,711.448
