Program, Package , Core(s) , GPU , DRAM? , Time (msec) 
sieve_of_eratosthenes.py ,170.630432,146.453186,7.992554,0,13400000
sieve_of_eratosthenes.py ,168.751892,144.75647,7.787048,0,13222900
sieve_of_eratosthenes.py ,170.989624,146.142395,7.88092,0,13403200
sieve_of_eratosthenes.py ,170.932373,146.049927,8.044312,0,13309900
sieve_of_eratosthenes.py ,166.66803,142.24469,7.889038,0,13061800
sieve_of_eratosthenes.py ,170.518005,145.798462,7.938416,0,13257000
sieve_of_eratosthenes.py ,169.738159,145.066772,7.980103,0,13262600
sieve_of_eratosthenes.py ,169.763611,145.077759,7.967102,0,13330100
sieve_of_eratosthenes.py ,169.899719,145.126526,7.96936,0,13301500
sieve_of_eratosthenes.py ,171.85907,146.791443,7.969116,0,13178100
